Company,"ACPI ID","Approved On Date"
"Xiaomi Inc.",XMCC,2015-12-08
"u-blox AG",UBLX,2015-12-08
"Raydium Semiconductor Corporation",RAYD,2016-04-13
"Dialog Semiconductor PLC",DLGS,2016-04-27
OmniPreSense,OMPS,2016-05-25
"CoreOS, Inc",CORE,2016-07-01
"Microchip Technology Inc",MCHP,2016-08-03
"Green Hills Software",GHSW,2016-08-11
"AAEON Technology Inc.",AANT,2016-09-01
"VR Technology Holdings Limited",3GVR,2017-01-19
"Exar Corporation",EXAR,2017-02-28
"Coreboot Project",BOOT,2017-02-28
"Marvell Technology Group Ltd.",MRVL,2017-05-25
"IHSE GmbH",IHSE,2017-06-22
"Insyde Software",INSY,2017-11-10
"Nexstgo Company Limited",NXGO,2017-11-13
"Ampere Computing",AMPC,2018-03-29
IDEMIA,IDEM,2018-06-26
"Vishay Intertechnology, Inc.",VSHY,2018-07-09
"DMIST RESEARCH LTD",DMST,2018-07-09
"COMHEAR, INC.",CMHR,2018-08-02
"Sensel, Inc.",SNSL,2018-08-20
"G2touch Co., LTD",GTCH,2018-12-04
"Guizhou Huaxintong Semiconductor Technology Co., Ltd",HXTS,2019-01-18
"Amazon Corporation",AMZN,2019-02-06
"ASEM S.p.A.",ASEM,2019-04-29
"Fujitsu Limited",FUJI,2019-06-18
"Phytium Technology Co. Ltd.",PHYT,2020-02-14
"CHENGDU HAIGUANG IC DESIGN CO., LTD",HYGO,2020-07-15
"PixArt imaging inc.",PIXA,2020-07-15
"Loongson Technology Corporation Limited",LOON,2020-09-10
"Seiko Epson Corporation",SECC,2021-02-16
"Alibaba Co., Ltd.",BABA,2021-02-02
"Juniper Systems, Inc.",JSYS,2021-03-18
"Framework Computer LLC",FRMW,2021-03-22
"Pensando Systems, Inc.",PNSO,2021-03-24
"Dynabook Inc.",DNBK,2021-06-01
"Dioo Microcircuits Co., Ltd. Jiangsu",DIOO,2021-06-04
"Purism SPC",PURI,2021-06-10
"Lontium Semiconductor Corporation",LTSC,2021-07-21
"Wacom Technology",WACF,2021-09-21
"Shanghai Aiwei Electronic Technology Co., Ltd.",AWDZ,2021-12-31
"Silicom Ltd. Connectivity Solutions",SILC,2022-03-28
"NOLO Co., Ltd.",NOLO,2022-03-28
"GoUp Co.,Ltd",GOUP,2022-06-24
"Shenzhen Jaguar Microsystems Co.,Ltd.",JMIC,2022-09-23
"Elliptic Laboratories AS",ELAS,2022-10-20
"Micro Crystal AG",MCRY,2022-11-10
"Cix Technology (Shanghai) Co., Ltd.",CIXH,2022-11-16
"EyeTech Digital Systems",ETDS,2022-11-29
"Raspberry Pi",RPIL,2023-02-22
"Shenzhen Istaric Technology Co., Ltd.",ISIC,2023-04-24
"Cirque Corporation",CIRQ,2023-05-09
"Rivos Inc.",RVOS,2023-06-07
"Beijer Electronics AB",BECS,2023-06-07
"ILI Technology Corp",ILIT,2023-06-20
"Hangzhou hj-micro Technology Co., Ltd",HJMC,2023-07-31
"Vervent Audio Group",NAIM,2024-01-04
"Das U-Boot",UBOO,2024-02-14
3mdeb,DSHR,2024-06-13
"SigmaSense, LLC",SGSN,2024-06-13
"INIT - Innovative Informatikanwendungen GmbH",INIT,2024-08-28
"RISC-V International",RSCV,2023-10-23
"Ventana Micro Systems",VNTN,2024-09-16
"DreamBig Semiconductor Inc.",DBSI,2025-01-28
"Wuxi Institute of Advanced Technology",SUNW,2025-01-28
"Sophgo Technologies Ltd.",SOPH,2025-04-07
"SmartSens Technology (Shanghai) CO., Ltd.",SSLC,2025-04-07
"Areus GmbH",AREU,2025-04-07
"Rockwell Automation, Inc",ROKL,2025-04-18
"JUMPtec GmbH",JUMP,2025-04-22
"Fsas Technologies Inc.",FSAS,2025-04-30
"JP Morgan Chase N.A.",JPMC,2025-05-30
"Roku, Inc.",ROKU,2025-07-15
"UltraRISC Technology (Shanghai) Co., Ltd",ULRV,2025-09-15
"SYNCS / Aviot Systems Pte Ltd",SYNC,2025-10-21
"Advantech Co., Ltd.",AHCL,2025-10-23
"Picoheart (SG) Pte. Ltd.",PICO,2025-10-30
"Kontron France",KOMF,2025-12-09
"Ubiquiti Inc.",UBTI,2025-12-10
"KAYA N CO., LTD.",KAYA,2026-01-06
Mesiontech,MITH,2026-01-30
"Nexthop Systems Inc.",NXHP,2026-02-23
"Megapolis-Telecom Region LLC",MPTR,2026-02-23
"Nanjing Tianyihexin Electronics Ltd",TYHX,2026-02-27
"Theo End (Shenzhen) Computing Technology Co., Ltd.",LECA,2026-02-27
SIPEARL,SIPL,2026-04-08
"Green Hippo",GHIP,2026-06-01
